Codigo,Nombre,Coleccion ,Precio,Dimensiones,area (cm^2),Categoria,Valoración personal,descripcion,Formato,Existing_html,Ready,Venta
g01,Up,no,14.941€,184x145 cm,26680,,4,Óleo sobre lienzo.,,no,,si
g02,Ave,sí,3.120€,2 de 50x65 cm,6500,,2,Óleo sobre papel lienzo.,,no,,si
g03,Sin título,no,2.747€,101x68 cm ,6868,,0,Óleo sobre madera.,,no,,si
g04,Sin título,no,449€,39x24 cm,936,,2,Óleo sobre papel lienzo.,,no,,si
g05,Memoria líquida,no,339€,31x21 cm,651,,3,Óleo sobre papel lienzo.,,no,,si
g06,Altamira,no,292€,29x18 cm,522,,4,Tinta sobre papel.,,no,,no
g07,Sin título,no,2.527€,81x60 cm,4860,,3,Óleo sobre lienzo.,,no,,si
g08,Homenaje a Rothko,no,1.820€,65x50 cm,3250,,4,Óleo y collage sorbe cartón.,,no,,si
g09,Retrato de Juan Carlos I,no,10.000€,116x73 cm,8468,,,Óleo sobre lienzo.,,no,,no
