Codigo,Nombre,Coleccion ,Precio,Dimensiones,area (cm^2),Categoria,Valoración personal,descripcion,Formato,Existing_html,Ready
g01,Up,no,10672,184x145 cm,26680,4,,Óleo sobre lienzo.,,,
g02,Ave,sí,2600,2 de 50x65 cm,6500,2,,Óleo sobre papel lienzo.,,,
g03,Sin título,no,"2747,2",101x68 cm ,6868,0,,Óleo sobre madera.,,,
g04,Sin título,no,"374,4",39x24 cm,936,2,,Óleo sobre papel lienzo.,,,
g05,Memoria líquida,no,"260,4",31x21 cm,651,3,,Óleo sobre papel lienzo.,,,
g06,Altamira,no,"208,8",29x18 cm,522,4,,Tinta sobre papel.,,,
g07,Sin título,no,1944,81x60 cm,4860,3,,Óleo sobre lienzo.,,,
g08,Homenaje a Rothko,no,1300,65x50 cm,3250,4,,Óleo y collage sorbe cartón.,,,
g09,Retrato de Juan Carlos I,no,"3387,2",116x73 cm,8468,7,,Óleo sobre lienzo.,,,
